Iteration,schedules
1,"[(158, 5), (218, 11), (219, 7), (222, 8), (223, 9), (224, 2), (225, 2), (228, 10), (31, 10), (32, 10), (33, 4), (34, 12), (35, 7), (37, 11), (5, 6), (11, 9), (12, 7), (13, 2), (43, 6), (45, 5), (46, 1), (210, 14), (92, 7), (107, 8), (119, 1), (21, 5), (48, 2), (51, 3), (134, 2), (1, 4), (73, 3), (137, 13), (138, 15), (152, 7), (167, 15), (69, 10), (71, 11), (80, 5), (77, 9), (147, 12), (150, 10), (151, 8), (171, 3), (180, 4), (181, 14), (182, 6), (183, 14), (81, 1), (82, 12), (122, 12), (75, 4), (234, 9), (15, 14), (53, 4), (54, 15), (55, 12), (56, 4), (57, 2), (59, 3), (60, 6), (61, 9), (63, 1), (142, 14), (146, 5), (87, 9), (90, 14), (96, 4), (100, 1), (184, 8), (189, 8), (195, 3), (196, 5), (197, 6), (78, 12), (72, 12), (47, 2), (76, 2), (74, 14), (17, 1), (123, 7), (124, 13), (86, 5), (207, 1), (79, 4), (208, 6), (135, 15), (235, 15), (52, 11), (187, 3), (42, 4), (209, 10), (14, 7), (91, 8), (136, 5), (2, 6), (3, 5), (198, 12), (18, 10), (22, 12), (23, 1), (94, 9), (188, 7), (93, 5), (95, 1), (199, 2), (200, 1), (201, 9), (4, 5), (156, 2), (16, 4), (19, 12), (206, 13), (20, 9), (185, 13), (186, 13), (157, 13), (153, 8), (168, 10), (127, 6), (128, 15), (129, 8), (130, 7), (169, 7), (154, 7), (155, 7), (132, 15), (170, 3), (133, 6), (187, 3), (164, 14), (211, 11), (212, 15), (214, 13), (165, 2), (213, 12), (215, 12), (166, 14), (216, 11), (217, 8), (141, 6), (159, 1), (160, 5), (161, 3), (162, 2), (163, 12)]"
2,"[(122, 12), (137, 4), (138, 15), (43, 6), (45, 8), (46, 1), (5, 3), (11, 9), (12, 7), (13, 2), (81, 11), (83, 6), (84, 7), (85, 15), (31, 10), (38, 5), (40, 15), (41, 1), (80, 5), (218, 13), (219, 7), (220, 7), (221, 3), (223, 9), (224, 12), (226, 9), (227, 1), (228, 10), (75, 7), (189, 8), (195, 3), (196, 5), (197, 6), (134, 2), (184, 8), (69, 10), (70, 7), (21, 5), (87, 9), (90, 14), (142, 15), (144, 2), (145, 7), (234, 9), (171, 11), (172, 1), (173, 15), (174, 10), (175, 13), (176, 11), (179, 4), (73, 3), (77, 9), (158, 6), (210, 14), (152, 4), (147, 12), (148, 13), (149, 5), (53, 4), (54, 15), (55, 12), (58, 13), (59, 3), (60, 6), (61, 9), (63, 1), (1, 11), (107, 8), (112, 6), (113, 12), (114, 1), (78, 12), (15, 14), (96, 7), (100, 1), (167, 10), (92, 5), (48, 2), (51, 3), (47, 2), (86, 4), (76, 6), (42, 8), (211, 15), (79, 4), (212, 15), (72, 3), (123, 7), (125, 3), (126, 6), (214, 13), (198, 12), (91, 8), (213, 12), (199, 2), (200, 1), (201, 9), (215, 12), (216, 11), (235, 2), (17, 12), (217, 8), (127, 6), (168, 10), (159, 1), (93, 1), (74, 14), (206, 13), (135, 15), (188, 7), (52, 11), (164, 9), (22, 12), (23, 1), (2, 6), (14, 7), (185, 13), (3, 5), (4, 5), (18, 10), (141, 8), (207, 2), (136, 5), (160, 5), (186, 13), (169, 13), (16, 5), (165, 2), (208, 6), (209, 10), (161, 3), (156, 2), (94, 9), (19, 12), (162, 2), (20, 9), (95, 1), (153, 11), (170, 3), (166, 1), (163, 12), (154, 7), (187, 3), (188, 7), (157, 13), (155, 7), (128, 15), (131, 14), (132, 15), (133, 6)]"
3,"[(81, 11), (83, 6), (84, 7), (85, 2), (122, 12), (80, 5), (134, 2), (189, 7), (195, 3), (196, 5), (197, 6), (1, 4), (31, 10), (32, 10), (36, 13), (37, 11), (210, 14), (53, 4), (64, 3), (87, 9), (88, 8), (89, 8), (167, 15), (78, 12), (152, 11), (142, 14), (144, 12), (145, 7), (43, 6), (44, 3), (92, 5), (234, 8), (5, 3), (11, 9), (12, 7), (13, 2), (96, 7), (101, 7), (102, 9), (75, 7), (107, 13), (108, 1), (77, 9), (15, 2), (171, 11), (180, 4), (181, 14), (182, 6), (183, 14), (48, 2), (51, 3), (147, 12), (148, 13), (149, 5), (21, 5), (69, 10), (70, 7), (137, 4), (139, 11), (140, 13), (218, 10), (219, 7), (220, 7), (221, 3), (223, 9), (224, 2), (226, 9), (227, 1), (228, 10), (158, 1), (184, 8), (73, 6), (17, 12), (159, 1), (65, 10), (47, 2), (22, 12), (30, 14), (52, 11), (211, 15), (42, 8), (74, 14), (207, 1), (66, 14), (68, 14), (185, 5), (72, 3), (214, 13), (123, 7), (125, 15), (126, 6), (235, 15), (79, 4), (14, 7), (164, 14), (67, 13), (68, 14), (141, 4), (76, 6), (215, 4), (110, 14), (187, 2), (186, 13), (212, 15), (213, 12), (216, 11), (86, 5), (16, 5), (94, 9), (135, 14), (198, 12), (208, 6), (217, 8), (209, 10), (91, 8), (93, 1), (95, 1), (199, 2), (202, 11), (203, 7), (205, 7), (187, 4), (188, 7), (136, 5), (168, 12), (18, 10), (169, 7), (160, 5), (156, 4), (153, 11), (19, 12), (206, 13), (161, 3), (20, 9), (128, 13), (131, 14), (132, 15), (127, 6), (162, 2), (133, 6), (157, 13), (154, 6), (165, 2), (155, 7), (166, 1), (109, 6), (170, 3), (111, 10), (163, 12), (2, 2), (3, 5), (4, 5)]"
4,"[(87, 9), (90, 14), (92, 7), (137, 4), (139, 2), (140, 2), (1, 11), (134, 2), (171, 3), (180, 8), (181, 11), (182, 6), (183, 14), (69, 10), (71, 11), (184, 8), (107, 13), (112, 6), (113, 12), (114, 1), (31, 10), (38, 9), (39, 12), (41, 1), (78, 12), (218, 13), (229, 6), (230, 10), (231, 6), (232, 4), (233, 14), (48, 2), (51, 3), (158, 5), (21, 5), (77, 9), (142, 15), (144, 12), (145, 7), (152, 4), (53, 4), (54, 15), (55, 12), (56, 4), (57, 2), (59, 3), (60, 6), (61, 9), (63, 1), (96, 7), (103, 13), (15, 14), (234, 8), (147, 12), (148, 13), (149, 5), (73, 6), (122, 14), (75, 7), (43, 6), (45, 8), (46, 1), (167, 15), (80, 5), (81, 1), (82, 12), (5, 3), (11, 4), (12, 7), (13, 2), (189, 8), (190, 5), (191, 15), (194, 4), (210, 14), (47, 2), (74, 14), (207, 1), (208, 6), (17, 12), (18, 10), (14, 7), (123, 7), (124, 13), (198, 12), (105, 8), (156, 2), (168, 10), (76, 6), (2, 3), (79, 4), (3, 5), (199, 2), (202, 11), (203, 8), (205, 7), (52, 11), (206, 13), (209, 10), (211, 15), (4, 5), (214, 13), (212, 15), (86, 5), (213, 12), (42, 8), (235, 15), (104, 4), (215, 12), (72, 12), (216, 11), (217, 8), (153, 11), (187, 3), (16, 5), (19, 1), (20, 9), (157, 13), (127, 6), (188, 14), (93, 1), (154, 7), (185, 13), (186, 13), (128, 13), (129, 4), (130, 4), (164, 14), (155, 7), (165, 6), (187, 3), (166, 1), (135, 5), (132, 15), (169, 7), (133, 6), (141, 12), (22, 15), (23, 1), (170, 3), (94, 3), (95, 1), (136, 5), (91, 8), (159, 1), (160, 5), (161, 3), (162, 2), (163, 12)]"
5,"[(171, 4), (180, 4), (181, 14), (182, 6), (183, 14), (48, 2), (51, 3), (134, 2), (142, 15), (144, 12), (145, 7), (1, 11), (69, 10), (70, 5), (147, 12), (148, 13), (149, 5), (80, 5), (107, 8), (108, 1), (78, 12), (73, 6), (158, 6), (96, 7), (103, 10), (21, 5), (15, 14), (189, 8), (195, 3), (196, 5), (197, 6), (137, 4), (139, 2), (140, 2), (92, 7), (5, 11), (11, 9), (12, 7), (13, 2), (152, 11), (81, 1), (82, 12), (234, 9), (53, 4), (64, 3), (31, 10), (38, 9), (40, 15), (41, 1), (210, 14), (77, 9), (167, 15), (43, 6), (45, 8), (46, 1), (87, 9), (88, 8), (89, 2), (218, 3), (229, 6), (230, 10), (231, 6), (232, 4), (233, 14), (184, 8), (75, 7), (122, 13), (65, 10), (47, 2), (79, 4), (66, 14), (68, 14), (211, 15), (123, 7), (125, 15), (126, 6), (127, 6), (42, 8), (17, 12), (214, 13), (18, 9), (212, 15), (105, 8), (168, 12), (215, 12), (76, 6), (198, 6), (67, 10), (68, 14), (93, 1), (135, 15), (74, 14), (86, 5), (169, 7), (16, 5), (94, 9), (14, 7), (199, 2), (202, 11), (204, 14), (205, 7), (213, 12), (91, 8), (22, 12), (23, 1), (185, 5), (235, 2), (72, 3), (95, 1), (164, 14), (207, 1), (208, 6), (186, 13), (209, 10), (206, 13), (153, 11), (104, 6), (136, 5), (165, 2), (159, 1), (19, 5), (154, 6), (20, 9), (160, 5), (141, 8), (216, 11), (52, 14), (217, 8), (2, 2), (3, 5), (4, 5), (109, 4), (187, 3), (166, 1), (188, 7), (170, 3), (161, 3), (162, 2), (163, 12), (156, 2), (157, 13), (155, 7), (128, 13), (131, 14), (132, 15), (133, 6), (110, 13), (111, 10)]"
6,"[(87, 9), (90, 14), (53, 4), (64, 3), (78, 12), (96, 7), (100, 1), (15, 14), (1, 11), (137, 2), (138, 15), (92, 5), (75, 7), (69, 10), (70, 7), (158, 6), (167, 15), (81, 1), (83, 6), (84, 7), (85, 2), (80, 5), (189, 8), (195, 3), (196, 5), (197, 6), (134, 2), (77, 9), (48, 10), (49, 1), (50, 9), (147, 12), (148, 13), (149, 8), (234, 8), (21, 5), (171, 11), (180, 4), (181, 14), (182, 6), (183, 14), (43, 6), (45, 8), (46, 1), (184, 12), (5, 11), (11, 9), (12, 7), (13, 2), (210, 14), (107, 13), (112, 3), (113, 12), (114, 1), (73, 3), (218, 10), (229, 13), (230, 10), (231, 13), (232, 4), (233, 5), (122, 14), (142, 12), (146, 5), (152, 7), (31, 11), (38, 9), (40, 15), (41, 1), (123, 7), (125, 3), (126, 6), (67, 10), (68, 14), (79, 4), (22, 12), (23, 6), (86, 5), (211, 15), (14, 7), (74, 12), (212, 15), (214, 13), (168, 12), (47, 2), (235, 15), (164, 9), (65, 10), (215, 12), (66, 14), (68, 14), (213, 12), (42, 8), (16, 8), (216, 11), (217, 8), (187, 3), (91, 8), (188, 7), (72, 3), (52, 6), (17, 1), (185, 13), (156, 4), (94, 9), (165, 2), (135, 5), (2, 2), (186, 13), (3, 5), (136, 5), (76, 2), (4, 5), (18, 10), (157, 12), (127, 6), (207, 1), (153, 11), (141, 8), (208, 6), (93, 5), (154, 7), (95, 1), (155, 7), (187, 3), (198, 12), (166, 1), (19, 12), (199, 2), (202, 11), (204, 14), (205, 7), (20, 9), (206, 13), (209, 10), (169, 10), (170, 3), (159, 1), (160, 5), (161, 3), (162, 2), (163, 12), (128, 4), (129, 4), (130, 4), (132, 15), (133, 4)]"
7,"[(5, 6), (6, 10), (7, 9), (8, 8), (9, 11), (78, 12), (234, 8), (53, 4), (54, 15), (55, 12), (58, 13), (59, 3), (60, 6), (62, 5), (63, 1), (137, 2), (139, 2), (140, 2), (43, 6), (44, 3), (1, 11), (81, 1), (83, 6), (84, 7), (85, 2), (122, 14), (92, 7), (167, 15), (87, 9), (88, 8), (89, 2), (69, 10), (70, 7), (142, 12), (143, 13), (31, 11), (38, 9), (39, 2), (41, 1), (21, 5), (15, 13), (184, 10), (210, 14), (96, 7), (103, 13), (152, 4), (218, 3), (219, 7), (220, 7), (221, 3), (223, 9), (224, 2), (225, 2), (228, 10), (48, 2), (51, 3), (189, 8), (195, 3), (196, 5), (197, 6), (171, 5), (172, 3), (173, 15), (174, 14), (175, 13), (176, 11), (179, 4), (77, 9), (73, 8), (75, 7), (158, 13), (147, 12), (148, 13), (149, 5), (80, 5), (134, 2), (107, 3), (115, 10), (47, 2), (105, 8), (164, 14), (91, 8), (211, 15), (214, 13), (212, 15), (72, 12), (74, 14), (215, 12), (17, 12), (213, 12), (42, 4), (79, 4), (94, 9), (104, 6), (52, 11), (198, 12), (117, 7), (159, 1), (207, 2), (123, 7), (124, 13), (127, 6), (86, 5), (208, 6), (116, 6), (76, 6), (199, 2), (202, 11), (204, 14), (205, 7), (14, 7), (22, 12), (24, 8), (25, 1), (206, 13), (153, 15), (141, 6), (209, 10), (216, 11), (217, 8), (168, 10), (93, 1), (95, 1), (118, 2), (135, 15), (235, 15), (165, 2), (18, 13), (188, 7), (2, 6), (3, 5), (4, 5), (166, 13), (154, 6), (169, 7), (170, 3), (185, 5), (160, 13), (186, 8), (136, 5), (161, 3), (187, 2), (162, 2), (188, 7), (16, 4), (163, 12), (19, 12), (20, 9), (128, 10), (131, 14), (132, 15), (133, 6), (156, 3), (157, 13), (155, 7)]"
8,"[(43, 6), (44, 3), (21, 5), (142, 15), (144, 12), (145, 7), (1, 4), (77, 9), (189, 7), (190, 5), (191, 15), (194, 4), (234, 8), (152, 11), (134, 2), (122, 14), (73, 3), (75, 7), (184, 12), (158, 13), (167, 10), (53, 4), (54, 15), (55, 12), (56, 4), (57, 2), (59, 3), (60, 6), (61, 9), (63, 1), (147, 9), (148, 13), (149, 5), (171, 4), (172, 15), (173, 15), (177, 4), (178, 11), (179, 4), (81, 1), (82, 12), (69, 2), (71, 11), (48, 10), (51, 3), (31, 11), (38, 9), (40, 15), (41, 1), (92, 7), (15, 14), (5, 6), (6, 10), (7, 9), (10, 8), (9, 11), (80, 5), (218, 13), (219, 7), (222, 8), (223, 9), (224, 2), (225, 2), (228, 10), (210, 9), (137, 2), (138, 15), (107, 8), (112, 6), (113, 12), (114, 1), (96, 4), (101, 3), (102, 9), (87, 9), (88, 8), (89, 2), (78, 12), (14, 7), (72, 12), (47, 2), (42, 8), (86, 5), (207, 1), (141, 4), (123, 7), (125, 3), (126, 3), (79, 4), (52, 6), (211, 15), (214, 13), (212, 15), (156, 5), (213, 12), (198, 12), (74, 14), (91, 8), (199, 2), (200, 1), (201, 9), (188, 14), (235, 15), (215, 4), (159, 12), (76, 6), (17, 12), (153, 8), (216, 11), (217, 8), (135, 14), (168, 10), (2, 3), (206, 13), (18, 10), (3, 5), (94, 9), (169, 7), (208, 6), (170, 3), (93, 1), (4, 5), (209, 10), (136, 5), (154, 7), (95, 1), (164, 14), (16, 8), (127, 6), (19, 12), (157, 13), (160, 5), (20, 9), (155, 7), (161, 3), (165, 4), (162, 2), (185, 3), (166, 1), (186, 8), (187, 3), (163, 12), (188, 7), (22, 12), (26, 1), (27, 6), (128, 15), (131, 14), (132, 15), (133, 6)]"
9,"[(122, 12), (81, 11), (83, 6), (84, 7), (85, 2), (48, 2), (51, 3), (31, 10), (38, 9), (39, 2), (41, 1), (147, 9), (150, 10), (151, 8), (92, 5), (234, 8), (137, 4), (138, 15), (1, 3), (171, 11), (180, 4), (181, 14), (182, 6), (183, 14), (75, 7), (53, 4), (54, 15), (55, 12), (56, 4), (57, 2), (59, 3), (60, 6), (62, 5), (63, 1), (43, 6), (44, 3), (5, 11), (6, 3), (7, 9), (10, 8), (9, 11), (189, 7), (190, 5), (191, 15), (194, 4), (158, 13), (142, 15), (143, 3), (77, 9), (73, 6), (87, 9), (88, 8), (89, 2), (210, 14), (167, 15), (69, 10), (71, 11), (78, 12), (134, 2), (80, 7), (107, 8), (120, 13), (121, 8), (152, 7), (21, 5), (218, 13), (219, 7), (220, 7), (221, 3), (223, 9), (224, 2), (226, 9), (227, 1), (228, 10), (184, 2), (96, 7), (103, 13), (15, 14), (47, 2), (17, 12), (123, 7), (124, 13), (42, 8), (14, 7), (18, 10), (104, 6), (211, 15), (214, 13), (72, 3), (212, 15), (22, 12), (28, 10), (29, 8), (235, 2), (215, 12), (213, 12), (135, 15), (86, 5), (207, 1), (2, 3), (74, 14), (198, 12), (105, 8), (3, 5), (199, 2), (202, 11), (204, 14), (205, 7), (206, 13), (91, 8), (185, 3), (216, 11), (217, 8), (186, 13), (79, 4), (4, 5), (208, 6), (76, 6), (16, 5), (187, 3), (141, 8), (188, 7), (164, 9), (165, 2), (209, 10), (52, 6), (168, 10), (127, 6), (19, 12), (136, 5), (20, 9), (169, 7), (166, 1), (170, 3), (94, 3), (93, 1), (95, 1), (156, 4), (153, 8), (157, 7), (154, 7), (155, 7), (128, 15), (131, 14), (132, 15), (133, 6), (159, 12), (160, 5), (161, 3), (162, 2), (163, 12)]"
10,"[(107, 8), (112, 6), (113, 12), (114, 1), (171, 4), (180, 4), (181, 14), (182, 6), (183, 14), (15, 14), (73, 6), (142, 15), (144, 12), (145, 7), (1, 11), (218, 10), (219, 7), (220, 7), (221, 3), (223, 9), (224, 2), (225, 2), (228, 10), (167, 15), (53, 4), (54, 15), (55, 12), (56, 4), (57, 11), (59, 3), (60, 6), (61, 9), (63, 1), (134, 2), (92, 5), (69, 10), (70, 7), (78, 12), (77, 9), (210, 14), (152, 7), (43, 6), (45, 8), (46, 1), (81, 1), (83, 6), (84, 7), (85, 2), (80, 5), (5, 3), (11, 4), (12, 12), (13, 6), (48, 2), (51, 3), (189, 8), (195, 3), (196, 5), (197, 6), (234, 9), (87, 9), (90, 14), (31, 11), (32, 10), (33, 4), (34, 13), (35, 7), (37, 11), (147, 12), (148, 13), (149, 5), (184, 8), (158, 13), (96, 7), (97, 15), (21, 5), (137, 13), (138, 15), (75, 7), (122, 14), (123, 7), (125, 3), (126, 6), (72, 12), (74, 14), (14, 7), (235, 15), (47, 2), (76, 6), (159, 1), (52, 11), (79, 4), (99, 2), (198, 12), (164, 14), (207, 1), (199, 2), (200, 1), (201, 9), (185, 5), (156, 4), (22, 12), (23, 6), (128, 13), (129, 8), (130, 7), (206, 13), (157, 7), (42, 8), (17, 1), (86, 4), (208, 5), (18, 10), (141, 4), (91, 8), (153, 11), (186, 13), (211, 15), (214, 13), (212, 15), (213, 12), (154, 1), (209, 10), (155, 7), (215, 4), (160, 5), (2, 3), (94, 3), (135, 15), (216, 11), (3, 5), (4, 5), (217, 8), (165, 4), (132, 15), (166, 1), (161, 3), (136, 5), (187, 3), (98, 3), (16, 5), (162, 2), (19, 12), (20, 9), (93, 1), (95, 1), (188, 7), (163, 12), (127, 10), (133, 6), (168, 10), (169, 7), (170, 3)]"
