Iteration,schedules
1,"[(209, 6), (214, 12), (215, 3), (167, 15), (79, 4), (108, 11), (127, 3), (9, 5), (10, 3), (11, 15), (12, 14), (13, 13), (14, 11), (17, 4), (40, 8), (41, 1), (27, 9), (30, 6), (106, 2), (197, 10), (150, 7), (157, 13), (204, 14), (205, 5), (146, 7), (50, 14), (52, 15), (99, 1), (135, 1), (136, 12), (104, 2), (93, 13), (114, 5), (161, 8), (238, 4), (239, 15), (131, 9), (83, 11), (89, 9), (90, 7), (91, 2), (134, 7), (187, 6), (188, 3), (132, 12), (141, 9), (142, 8), (143, 8), (254, 15), (255, 9), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (68, 5), (69, 1), (22, 12), (235, 2), (123, 10), (243, 3), (246, 1), (247, 9), (129, 7), (47, 6), (49, 12), (53, 3), (1, 14), (35, 12), (192, 2), (193, 1), (194, 11), (223, 13), (175, 11), (176, 10), (180, 13), (181, 11), (75, 10), (76, 7), (44, 13), (249, 7), (250, 13), (145, 8), (258, 4), (92, 7), (23, 5), (36, 15), (31, 4), (33, 9), (224, 7), (226, 3), (227, 6), (105, 14), (191, 2), (186, 8), (130, 6), (140, 5), (2, 11), (5, 13), (164, 12), (54, 7), (128, 12), (133, 6), (3, 15), (56, 10), (248, 5), (252, 11), (148, 9), (253, 10), (55, 4), (4, 12), (159, 8), (95, 12), (37, 4), (24, 13), (107, 5), (6, 12), (45, 9), (78, 3), (38, 14), (158, 7), (39, 10), (96, 13), (162, 8), (115, 1), (34, 3), (163, 4), (57, 8), (242, 4), (100, 8), (196, 11), (147, 1), (149, 1), (7, 11), (94, 1), (46, 9), (8, 8), (58, 5), (124, 10), (202, 13), (168, 15), (172, 8), (173, 7), (174, 10), (26, 14), (80, 6), (165, 1), (203, 12), (259, 10), (166, 5), (120, 9), (81, 5), (116, 13), (112, 2), (109, 8), (121, 2), (229, 13), (232, 14), (228, 6), (113, 13), (101, 13), (97, 12), (236, 15), (102, 5), (98, 9), (117, 3), (233, 15), (82, 8), (234, 6), (103, 4), (237, 5), (122, 1), (125, 7), (25, 3), (118, 2), (119, 12), (26, 14), (126, 3), (110, 1), (198, 9), (199, 13), (111, 7), (200, 13), (201, 6)]"
2,"[(99, 6), (238, 4), (240, 2), (241, 2), (50, 3), (52, 15), (209, 2), (214, 12), (215, 3), (83, 11), (89, 9), (90, 7), (91, 2), (123, 10), (1, 14), (131, 9), (44, 13), (53, 1), (22, 8), (204, 15), (206, 11), (207, 8), (93, 14), (197, 12), (134, 5), (254, 5), (255, 6), (79, 3), (132, 12), (146, 7), (27, 9), (30, 3), (135, 1), (136, 12), (129, 4), (114, 13), (9, 5), (10, 15), (11, 15), (12, 14), (13, 13), (14, 11), (17, 4), (106, 9), (40, 8), (43, 5), (167, 6), (161, 14), (187, 6), (188, 6), (59, 4), (70, 3), (249, 13), (251, 15), (175, 10), (182, 5), (184, 15), (185, 1), (127, 8), (75, 2), (77, 11), (192, 2), (195, 3), (243, 3), (246, 1), (247, 9), (141, 9), (142, 8), (143, 2), (35, 15), (108, 11), (104, 10), (150, 7), (160, 12), (47, 8), (49, 12), (235, 2), (223, 14), (73, 10), (74, 14), (224, 7), (225, 13), (140, 5), (71, 10), (54, 5), (2, 11), (248, 5), (133, 4), (120, 14), (115, 1), (128, 14), (57, 8), (31, 4), (33, 9), (72, 14), (74, 14), (3, 15), (168, 10), (172, 4), (173, 7), (191, 2), (186, 8), (5, 13), (242, 12), (58, 3), (130, 6), (4, 12), (6, 4), (34, 3), (145, 8), (92, 7), (252, 11), (258, 15), (95, 1), (78, 12), (23, 5), (7, 11), (94, 1), (8, 8), (147, 1), (116, 4), (202, 12), (36, 9), (80, 3), (259, 3), (81, 5), (82, 5), (253, 13), (124, 13), (55, 4), (38, 14), (24, 13), (37, 4), (174, 10), (39, 10), (56, 11), (148, 9), (107, 13), (149, 1), (125, 7), (105, 1), (162, 8), (121, 2), (198, 6), (163, 4), (196, 11), (229, 10), (232, 14), (25, 3), (96, 10), (26, 7), (199, 14), (236, 15), (100, 8), (101, 13), (228, 6), (200, 2), (201, 6), (233, 15), (112, 2), (234, 6), (113, 13), (237, 2), (126, 3), (97, 12), (164, 9), (165, 7), (45, 7), (98, 9), (109, 11), (166, 5), (117, 13), (46, 9), (122, 1), (203, 5), (118, 2), (110, 7), (102, 14), (111, 7), (119, 12), (103, 4)]"
3,"[(44, 11), (35, 12), (50, 3), (51, 7), (129, 7), (83, 6), (84, 10), (85, 9), (88, 8), (87, 11), (114, 5), (75, 2), (77, 11), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (68, 5), (69, 1), (209, 6), (216, 9), (217, 4), (218, 9), (93, 14), (134, 5), (79, 3), (150, 7), (151, 14), (99, 1), (204, 15), (205, 5), (167, 15), (127, 8), (27, 9), (28, 1), (29, 4), (161, 14), (243, 8), (244, 6), (245, 2), (249, 13), (251, 15), (108, 4), (135, 11), (136, 12), (235, 2), (223, 12), (22, 10), (197, 12), (1, 14), (47, 8), (48, 11), (175, 10), (182, 9), (183, 2), (185, 1), (254, 5), (255, 9), (141, 9), (144, 14), (123, 15), (192, 2), (195, 3), (131, 9), (146, 7), (187, 6), (188, 3), (132, 12), (40, 8), (43, 5), (9, 3), (10, 3), (11, 15), (12, 14), (13, 13), (14, 11), (17, 4), (104, 10), (238, 13), (239, 15), (106, 14), (53, 1), (133, 4), (224, 7), (226, 3), (227, 6), (148, 6), (196, 11), (120, 14), (54, 5), (55, 4), (31, 4), (33, 9), (258, 4), (191, 2), (57, 8), (34, 3), (128, 12), (2, 15), (152, 6), (36, 9), (3, 15), (5, 13), (95, 1), (145, 8), (58, 3), (4, 12), (105, 1), (109, 11), (140, 4), (147, 1), (115, 1), (259, 10), (92, 7), (252, 11), (248, 5), (168, 10), (172, 4), (173, 7), (253, 10), (149, 1), (186, 4), (78, 12), (162, 8), (174, 10), (163, 4), (23, 3), (6, 4), (116, 5), (7, 11), (80, 6), (8, 8), (124, 10), (94, 4), (153, 2), (56, 10), (24, 13), (107, 13), (81, 5), (198, 10), (164, 7), (38, 14), (25, 3), (82, 5), (202, 3), (96, 10), (125, 7), (130, 2), (37, 14), (97, 12), (45, 8), (121, 2), (203, 12), (98, 9), (242, 4), (46, 9), (39, 10), (199, 13), (110, 7), (122, 1), (26, 14), (165, 1), (200, 2), (201, 6), (112, 2), (236, 15), (229, 13), (232, 14), (166, 5), (100, 14), (117, 3), (228, 6), (118, 2), (113, 13), (111, 7), (237, 5), (101, 13), (119, 12), (233, 15), (234, 6), (126, 3), (102, 5), (103, 4)]"
4,"[(132, 12), (79, 4), (254, 5), (255, 9), (106, 2), (44, 11), (83, 6), (89, 4), (90, 7), (91, 2), (243, 3), (246, 1), (247, 9), (150, 7), (151, 14), (104, 10), (235, 2), (9, 3), (18, 8), (19, 11), (20, 6), (21, 14), (75, 10), (76, 5), (135, 11), (136, 12), (93, 14), (35, 12), (249, 13), (251, 15), (223, 9), (209, 6), (216, 1), (217, 4), (218, 9), (141, 9), (144, 14), (22, 8), (167, 15), (27, 3), (28, 1), (29, 7), (1, 14), (114, 1), (161, 8), (131, 9), (175, 10), (182, 5), (184, 15), (185, 1), (127, 6), (123, 15), (192, 2), (195, 3), (50, 14), (52, 15), (53, 5), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (67, 9), (69, 1), (99, 6), (146, 7), (204, 15), (205, 5), (134, 7), (187, 6), (188, 3), (108, 11), (238, 13), (240, 2), (241, 2), (197, 12), (47, 8), (48, 11), (40, 8), (41, 4), (129, 7), (124, 10), (31, 4), (32, 4), (224, 7), (225, 13), (196, 11), (95, 12), (198, 9), (115, 1), (191, 2), (258, 4), (248, 8), (2, 15), (23, 3), (3, 15), (78, 12), (107, 13), (145, 8), (140, 5), (133, 6), (5, 13), (36, 15), (153, 2), (34, 3), (37, 4), (186, 8), (92, 10), (4, 12), (236, 14), (128, 12), (120, 14), (168, 15), (172, 4), (173, 7), (199, 13), (174, 10), (57, 13), (24, 13), (147, 5), (162, 15), (163, 4), (200, 2), (242, 8), (58, 3), (45, 9), (201, 6), (228, 6), (252, 3), (38, 10), (148, 9), (6, 12), (80, 2), (81, 5), (96, 10), (112, 2), (130, 6), (54, 5), (149, 1), (82, 5), (39, 10), (202, 3), (253, 10), (109, 11), (259, 10), (121, 2), (55, 4), (237, 5), (105, 14), (7, 11), (125, 7), (8, 8), (94, 8), (122, 1), (100, 14), (25, 3), (110, 7), (56, 10), (152, 3), (46, 9), (101, 13), (26, 7), (126, 8), (203, 12), (102, 14), (229, 10), (232, 14), (97, 12), (103, 6), (98, 9), (164, 6), (113, 13), (165, 1), (116, 5), (166, 5), (117, 3), (118, 2), (111, 7), (119, 12), (233, 15), (234, 6)]"
5,"[(204, 14), (205, 5), (146, 7), (135, 11), (137, 6), (138, 7), (139, 2), (150, 4), (155, 3), (156, 9), (99, 1), (132, 12), (75, 10), (77, 11), (35, 12), (104, 2), (197, 8), (161, 5), (40, 8), (41, 1), (192, 2), (193, 1), (194, 9), (243, 3), (244, 6), (245, 2), (175, 10), (182, 9), (184, 15), (185, 1), (1, 9), (93, 13), (238, 4), (240, 11), (241, 13), (83, 3), (84, 10), (85, 3), (88, 8), (87, 11), (44, 15), (53, 1), (50, 14), (52, 15), (9, 4), (10, 15), (11, 15), (12, 14), (13, 13), (14, 11), (17, 4), (131, 9), (108, 7), (106, 11), (141, 9), (142, 8), (143, 2), (129, 5), (209, 6), (210, 3), (235, 2), (123, 10), (22, 12), (47, 8), (48, 15), (223, 13), (59, 4), (70, 3), (187, 6), (189, 8), (190, 1), (134, 5), (254, 13), (255, 9), (79, 11), (114, 5), (127, 6), (167, 6), (249, 7), (251, 8), (27, 3), (28, 1), (29, 4), (57, 6), (54, 5), (58, 3), (71, 10), (78, 12), (168, 10), (169, 2), (170, 14), (171, 6), (72, 14), (74, 14), (31, 4), (33, 9), (145, 8), (224, 7), (225, 13), (130, 6), (128, 14), (248, 5), (258, 4), (124, 12), (2, 15), (5, 13), (3, 15), (191, 2), (36, 15), (4, 12), (34, 3), (6, 12), (133, 4), (73, 13), (74, 14), (140, 4), (174, 10), (55, 4), (92, 7), (186, 8), (38, 14), (7, 11), (95, 12), (202, 13), (252, 3), (196, 11), (253, 13), (115, 12), (147, 1), (8, 8), (94, 1), (96, 9), (105, 14), (23, 13), (37, 14), (100, 14), (80, 6), (39, 10), (81, 5), (82, 5), (120, 9), (259, 10), (107, 5), (56, 11), (116, 5), (148, 6), (24, 13), (229, 13), (230, 8), (231, 7), (242, 8), (149, 1), (236, 14), (198, 2), (121, 2), (237, 5), (228, 10), (125, 7), (117, 3), (122, 1), (26, 7), (97, 12), (203, 12), (101, 13), (98, 9), (112, 2), (102, 5), (164, 9), (45, 9), (199, 15), (118, 2), (200, 2), (46, 9), (165, 7), (113, 13), (119, 12), (103, 6), (162, 15), (163, 4), (166, 1), (201, 6), (25, 3), (26, 7), (126, 8), (109, 11), (110, 7), (111, 7), (233, 15), (234, 6)]"
6,"[(167, 6), (238, 4), (240, 2), (241, 2), (50, 3), (51, 7), (1, 14), (40, 8), (41, 1), (254, 5), (256, 2), (257, 1), (135, 11), (137, 6), (138, 7), (139, 15), (114, 13), (223, 12), (150, 7), (160, 15), (249, 3), (250, 13), (9, 11), (18, 4), (19, 14), (20, 6), (21, 14), (134, 5), (108, 11), (75, 10), (76, 5), (132, 12), (93, 2), (197, 12), (192, 2), (195, 3), (35, 15), (104, 10), (146, 7), (99, 6), (59, 4), (70, 3), (131, 9), (161, 14), (127, 8), (27, 9), (28, 1), (29, 7), (141, 9), (144, 14), (123, 10), (106, 7), (243, 8), (244, 8), (245, 2), (187, 6), (189, 8), (190, 1), (83, 11), (89, 9), (90, 7), (91, 2), (44, 15), (22, 12), (79, 11), (175, 10), (176, 10), (177, 4), (178, 12), (179, 7), (181, 11), (47, 8), (48, 11), (204, 14), (206, 15), (207, 2), (53, 1), (235, 2), (209, 5), (216, 1), (217, 4), (218, 9), (129, 7), (31, 4), (33, 5), (80, 6), (133, 4), (224, 7), (225, 13), (115, 1), (95, 12), (130, 6), (23, 3), (128, 14), (81, 5), (73, 10), (74, 14), (168, 15), (169, 2), (170, 14), (171, 6), (54, 7), (55, 4), (140, 5), (71, 10), (186, 8), (258, 15), (191, 2), (78, 12), (236, 15), (82, 5), (145, 13), (92, 7), (202, 13), (174, 10), (2, 15), (72, 14), (74, 14), (198, 8), (34, 3), (5, 13), (3, 15), (6, 12), (36, 9), (248, 8), (252, 11), (4, 12), (56, 12), (253, 10), (24, 13), (162, 8), (163, 4), (105, 1), (45, 9), (259, 3), (148, 3), (120, 15), (109, 2), (116, 13), (117, 3), (199, 14), (96, 9), (118, 2), (228, 6), (242, 4), (121, 2), (200, 2), (94, 5), (38, 9), (237, 5), (7, 11), (100, 5), (37, 4), (8, 8), (97, 1), (107, 13), (124, 12), (39, 10), (125, 7), (98, 9), (196, 14), (46, 9), (203, 12), (57, 8), (58, 3), (126, 3), (101, 13), (147, 6), (149, 1), (110, 7), (201, 6), (229, 15), (232, 14), (112, 3), (164, 6), (233, 15), (165, 1), (234, 6), (113, 13), (166, 5), (111, 7), (25, 3), (26, 7), (102, 5), (103, 6), (122, 1), (119, 12)]"
7,"[(175, 11), (182, 9), (184, 15), (185, 1), (135, 1), (137, 6), (138, 7), (139, 2), (209, 6), (214, 12), (215, 3), (99, 6), (127, 3), (47, 8), (48, 15), (50, 14), (51, 7), (35, 12), (134, 5), (9, 4), (10, 3), (11, 15), (15, 4), (16, 13), (17, 4), (238, 2), (239, 15), (27, 9), (30, 3), (235, 2), (167, 6), (22, 10), (161, 5), (129, 7), (254, 13), (255, 9), (1, 14), (53, 1), (40, 8), (43, 5), (123, 10), (204, 15), (206, 11), (207, 2), (132, 12), (75, 10), (77, 11), (146, 7), (108, 4), (249, 13), (251, 15), (141, 9), (142, 8), (143, 2), (104, 2), (131, 9), (106, 7), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (67, 9), (69, 1), (83, 11), (89, 9), (90, 7), (91, 2), (79, 3), (150, 7), (151, 14), (44, 15), (114, 5), (192, 10), (193, 1), (194, 9), (187, 6), (189, 8), (190, 1), (197, 12), (243, 3), (244, 6), (245, 2), (223, 14), (93, 14), (191, 2), (168, 10), (172, 8), (173, 7), (224, 7), (225, 13), (105, 1), (31, 4), (33, 9), (36, 9), (2, 15), (5, 13), (3, 15), (128, 14), (140, 5), (248, 5), (54, 5), (4, 12), (202, 3), (34, 3), (147, 1), (92, 7), (186, 8), (130, 6), (100, 8), (45, 9), (174, 10), (23, 5), (95, 12), (145, 8), (115, 1), (258, 4), (56, 10), (164, 12), (37, 4), (6, 12), (38, 10), (116, 5), (165, 1), (133, 4), (39, 10), (57, 8), (24, 13), (153, 14), (148, 9), (58, 3), (203, 12), (196, 11), (149, 1), (252, 11), (80, 3), (253, 13), (78, 3), (124, 12), (81, 5), (228, 6), (152, 6), (236, 15), (82, 5), (55, 4), (26, 7), (46, 9), (107, 5), (94, 4), (7, 11), (109, 11), (242, 6), (162, 8), (163, 4), (8, 8), (166, 5), (259, 10), (112, 2), (125, 7), (126, 3), (198, 9), (96, 13), (199, 14), (200, 2), (117, 3), (118, 2), (201, 6), (120, 14), (110, 6), (97, 12), (121, 2), (122, 1), (98, 9), (237, 5), (25, 14), (119, 12), (101, 11), (102, 6), (229, 13), (232, 14), (233, 15), (103, 6), (26, 14), (234, 4), (113, 7), (111, 7)]"
8,"[(175, 11), (182, 9), (184, 15), (185, 1), (129, 7), (27, 9), (28, 1), (29, 4), (197, 12), (114, 5), (187, 6), (188, 3), (104, 10), (131, 9), (254, 13), (255, 6), (40, 8), (41, 1), (192, 2), (193, 1), (194, 9), (161, 14), (75, 2), (77, 11), (249, 7), (251, 8), (235, 2), (1, 14), (167, 15), (35, 12), (243, 3), (246, 1), (247, 9), (127, 3), (47, 8), (49, 12), (141, 9), (144, 14), (53, 3), (135, 11), (136, 13), (238, 4), (239, 15), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (67, 9), (69, 1), (123, 10), (209, 5), (210, 3), (9, 5), (10, 3), (11, 15), (15, 4), (16, 13), (17, 4), (204, 14), (206, 11), (207, 2), (108, 7), (223, 13), (134, 7), (99, 6), (146, 5), (93, 14), (22, 12), (50, 14), (52, 15), (83, 6), (84, 10), (85, 9), (86, 8), (87, 11), (150, 4), (160, 15), (79, 11), (44, 15), (106, 14), (132, 12), (148, 3), (2, 15), (31, 4), (32, 4), (5, 13), (191, 2), (186, 8), (147, 1), (168, 10), (172, 12), (173, 7), (3, 15), (128, 12), (36, 15), (78, 12), (133, 4), (54, 7), (224, 7), (226, 3), (227, 6), (4, 12), (202, 13), (164, 12), (92, 10), (34, 3), (162, 8), (163, 4), (149, 1), (55, 2), (258, 15), (140, 4), (57, 8), (95, 12), (107, 13), (145, 8), (6, 4), (196, 11), (115, 1), (56, 10), (38, 14), (105, 1), (94, 5), (124, 10), (198, 6), (120, 14), (37, 4), (39, 10), (100, 14), (199, 13), (58, 3), (252, 11), (7, 11), (253, 10), (8, 8), (200, 2), (174, 10), (242, 4), (165, 1), (45, 9), (121, 2), (166, 5), (201, 6), (46, 9), (259, 10), (229, 13), (230, 8), (231, 7), (116, 5), (130, 2), (228, 6), (248, 5), (233, 15), (26, 14), (23, 5), (203, 5), (117, 3), (234, 6), (125, 7), (109, 8), (24, 13), (96, 13), (97, 12), (118, 2), (98, 9), (101, 11), (80, 6), (81, 5), (122, 1), (82, 5), (119, 12), (112, 7), (110, 7), (25, 3), (102, 6), (26, 7), (113, 13), (111, 2), (126, 8), (103, 6), (236, 14), (237, 5)]"
9,"[(135, 11), (137, 6), (138, 7), (139, 2), (187, 6), (189, 8), (190, 1), (129, 7), (75, 10), (76, 5), (40, 8), (43, 5), (223, 12), (141, 9), (142, 12), (143, 2), (167, 15), (146, 7), (131, 9), (59, 4), (60, 15), (61, 12), (62, 4), (63, 2), (65, 3), (66, 6), (67, 9), (69, 1), (53, 1), (150, 4), (160, 15), (209, 6), (211, 11), (212, 15), (213, 6), (161, 5), (83, 3), (89, 4), (90, 7), (91, 2), (134, 5), (47, 8), (49, 12), (35, 12), (104, 2), (1, 14), (235, 2), (79, 11), (243, 3), (246, 5), (247, 9), (238, 13), (239, 3), (114, 1), (127, 6), (27, 9), (30, 3), (50, 14), (51, 2), (197, 10), (93, 2), (123, 15), (175, 11), (176, 10), (177, 4), (178, 12), (179, 7), (181, 11), (132, 12), (249, 13), (251, 8), (99, 6), (254, 5), (255, 9), (204, 15), (208, 12), (106, 7), (9, 4), (10, 3), (11, 15), (12, 14), (13, 13), (14, 11), (17, 4), (192, 10), (193, 1), (194, 9), (44, 11), (22, 8), (108, 7), (168, 10), (169, 2), (170, 15), (171, 6), (258, 15), (191, 2), (107, 13), (31, 4), (32, 4), (224, 7), (225, 7), (145, 13), (36, 15), (100, 14), (78, 3), (186, 8), (95, 12), (54, 5), (162, 8), (56, 10), (115, 1), (140, 5), (34, 3), (55, 2), (133, 4), (128, 14), (202, 13), (105, 15), (96, 10), (163, 4), (92, 7), (23, 13), (148, 9), (196, 6), (120, 9), (203, 12), (130, 2), (248, 8), (80, 6), (81, 5), (124, 10), (37, 14), (2, 15), (259, 3), (5, 13), (82, 5), (3, 15), (4, 12), (57, 13), (229, 4), (232, 14), (242, 4), (174, 10), (38, 14), (116, 5), (24, 8), (94, 5), (39, 10), (164, 9), (252, 11), (198, 6), (58, 3), (97, 1), (6, 4), (199, 14), (253, 10), (200, 2), (165, 1), (201, 6), (26, 7), (109, 11), (166, 5), (233, 15), (7, 11), (8, 8), (101, 13), (25, 3), (147, 1), (236, 5), (98, 9), (45, 9), (149, 1), (121, 2), (237, 5), (122, 1), (112, 3), (102, 5), (228, 2), (46, 9), (234, 6), (26, 7), (113, 13), (103, 4), (110, 6), (117, 7), (118, 2), (111, 7), (119, 12), (125, 6), (126, 3)]"
10,"[(9, 4), (10, 3), (11, 15), (15, 4), (16, 13), (17, 4), (106, 2), (197, 12), (47, 6), (48, 11), (53, 1), (123, 15), (134, 5), (59, 4), (60, 15), (61, 12), (64, 13), (65, 3), (66, 6), (67, 9), (69, 1), (114, 13), (99, 6), (127, 3), (161, 14), (150, 7), (151, 14), (27, 9), (30, 3), (83, 11), (84, 10), (85, 9), (88, 8), (87, 11), (243, 8), (246, 1), (247, 9), (209, 2), (211, 14), (212, 15), (213, 6), (146, 5), (238, 4), (240, 2), (241, 2), (104, 10), (187, 6), (188, 6), (40, 8), (43, 5), (35, 12), (79, 3), (254, 13), (255, 9), (141, 9), (142, 8), (143, 2), (1, 14), (132, 12), (50, 6), (52, 15), (108, 7), (131, 9), (204, 15), (208, 12), (93, 2), (235, 2), (129, 7), (22, 10), (192, 10), (193, 1), (194, 11), (223, 12), (44, 11), (135, 1), (137, 6), (138, 7), (139, 2), (175, 11), (176, 10), (177, 4), (178, 12), (179, 7), (181, 11), (249, 7), (251, 15), (167, 15), (75, 2), (76, 7), (38, 14), (196, 11), (224, 7), (226, 3), (227, 6), (191, 2), (78, 12), (2, 15), (31, 4), (33, 9), (153, 12), (5, 13), (34, 3), (258, 4), (248, 8), (92, 7), (3, 15), (115, 1), (54, 5), (36, 15), (4, 12), (168, 10), (172, 4), (173, 7), (37, 4), (130, 8), (174, 10), (6, 4), (55, 2), (39, 6), (94, 5), (95, 12), (186, 8), (133, 4), (145, 13), (120, 14), (128, 12), (109, 12), (140, 5), (252, 11), (7, 11), (107, 5), (8, 8), (148, 3), (164, 9), (56, 10), (165, 1), (105, 14), (253, 10), (26, 7), (259, 10), (45, 9), (202, 12), (57, 8), (58, 3), (121, 2), (162, 8), (163, 4), (80, 6), (23, 5), (229, 13), (232, 14), (152, 6), (166, 5), (24, 13), (46, 9), (147, 1), (81, 5), (96, 10), (82, 5), (149, 1), (233, 15), (236, 14), (198, 10), (124, 10), (125, 7), (199, 13), (97, 12), (122, 14), (98, 9), (100, 14), (25, 3), (112, 4), (110, 7), (242, 8), (203, 5), (200, 2), (113, 13), (126, 3), (237, 5), (116, 5), (26, 14), (117, 3), (201, 6), (118, 2), (119, 12), (101, 13), (228, 6), (111, 7), (102, 6), (234, 6), (103, 4)]"
