Iteration,schedules
1,"[(26, 12), (38, 6), (7, 9), (8, 8), (9, 2), (176, 14), (140, 11), (151, 6), (152, 10), (153, 6), (154, 4), (155, 14), (1, 1), (2, 13), (79, 15), (81, 2), (82, 7), (158, 4), (167, 4), (168, 14), (169, 6), (170, 14), (33, 14), (34, 5), (16, 5), (105, 4), (106, 15), (107, 12), (108, 4), (109, 2), (111, 3), (112, 6), (113, 9), (115, 1), (58, 7), (59, 5), (61, 7), (62, 2), (63, 4), (156, 8), (12, 7), (101, 1), (103, 12), (45, 2), (47, 7), (54, 13), (121, 10), (123, 11), (125, 13), (137, 1), (89, 2), (93, 3), (94, 4), (43, 10), (171, 8), (84, 15), (85, 13), (86, 5), (76, 2), (157, 15), (6, 5), (13, 1), (95, 10), (55, 6), (11, 8), (96, 6), (56, 8), (172, 13), (67, 6), (68, 2), (71, 11), (72, 8), (74, 7), (75, 13), (17, 12), (23, 4), (24, 8), (97, 3), (98, 9), (99, 7), (100, 15), (104, 7), (46, 13), (173, 13), (14, 9), (77, 5), (39, 14), (177, 15), (178, 15), (180, 13), (179, 12), (124, 3), (181, 4), (182, 11), (183, 8), (44, 1), (174, 3), (175, 7), (15, 1), (40, 13), (78, 10), (31, 3), (32, 5), (41, 6), (42, 6), (27, 9), (28, 13), (29, 2), (30, 1)]"
2,"[(26, 12), (47, 4), (57, 15), (16, 5), (125, 8), (138, 13), (139, 8), (176, 14), (38, 6), (1, 11), (2, 12), (58, 7), (64, 3), (65, 5), (66, 6), (79, 14), (80, 3), (7, 9), (10, 14), (101, 2), (103, 12), (43, 10), (89, 2), (93, 3), (94, 4), (140, 11), (141, 7), (142, 7), (143, 3), (145, 9), (146, 2), (147, 2), (150, 10), (12, 7), (45, 14), (171, 8), (121, 10), (123, 11), (84, 15), (87, 10), (88, 8), (105, 4), (106, 15), (107, 12), (108, 4), (109, 2), (111, 3), (112, 6), (114, 5), (115, 1), (158, 5), (159, 3), (160, 15), (164, 4), (165, 13), (166, 4), (156, 9), (33, 15), (34, 5), (14, 9), (39, 8), (11, 8), (27, 2), (157, 15), (46, 13), (13, 1), (95, 10), (96, 6), (124, 12), (177, 11), (178, 15), (15, 1), (179, 12), (180, 13), (17, 12), (25, 14), (6, 5), (97, 3), (175, 7), (172, 13), (104, 7), (76, 1), (181, 4), (173, 13), (98, 9), (31, 13), (44, 1), (77, 6), (99, 7), (40, 13), (32, 12), (67, 6), (100, 15), (28, 14), (29, 2), (41, 5), (174, 3), (42, 6), (182, 11), (183, 8), (68, 2), (71, 11), (73, 14), (74, 7), (75, 13), (30, 6), (78, 10), (175, 7)]"
3,"[(16, 5), (12, 7), (47, 4), (52, 3), (53, 9), (79, 15), (81, 12), (82, 4), (89, 2), (93, 3), (94, 4), (33, 14), (37, 9), (121, 10), (122, 5), (158, 11), (159, 15), (160, 15), (164, 12), (165, 13), (166, 4), (125, 8), (133, 10), (7, 9), (10, 14), (84, 12), (85, 6), (86, 5), (45, 9), (176, 14), (101, 6), (102, 10), (1, 1), (2, 13), (171, 8), (156, 8), (43, 2), (58, 7), (64, 3), (65, 5), (66, 6), (26, 12), (38, 6), (140, 11), (141, 7), (144, 8), (145, 1), (146, 2), (148, 9), (149, 1), (150, 11), (105, 4), (116, 3), (117, 10), (76, 2), (118, 14), (120, 14), (157, 15), (6, 5), (14, 6), (31, 3), (67, 12), (124, 3), (134, 6), (119, 13), (120, 14), (11, 8), (32, 12), (44, 1), (104, 7), (95, 10), (96, 6), (68, 2), (71, 11), (73, 14), (74, 7), (75, 13), (13, 5), (77, 6), (97, 3), (15, 1), (78, 10), (177, 15), (180, 13), (135, 14), (39, 14), (181, 12), (136, 2), (17, 12), (18, 1), (178, 15), (46, 13), (98, 9), (99, 11), (179, 12), (100, 15), (40, 13), (182, 11), (183, 8), (27, 10), (28, 14), (41, 5), (172, 5), (173, 13), (42, 6), (29, 2), (174, 3), (30, 6), (175, 7)]"
4,"[(125, 8), (133, 10), (101, 6), (102, 14), (121, 2), (123, 11), (12, 7), (1, 11), (3, 6), (4, 7), (5, 2), (47, 4), (48, 15), (38, 1), (58, 8), (64, 3), (65, 5), (66, 1), (89, 2), (93, 3), (94, 4), (171, 12), (79, 12), (80, 13), (43, 10), (16, 5), (158, 4), (167, 4), (168, 14), (169, 6), (170, 14), (156, 9), (26, 8), (33, 14), (35, 11), (36, 2), (140, 4), (141, 7), (142, 7), (143, 3), (145, 9), (146, 2), (148, 9), (149, 1), (150, 10), (176, 9), (84, 9), (85, 13), (86, 5), (7, 9), (8, 8), (9, 2), (45, 11), (105, 4), (116, 3), (157, 15), (134, 6), (6, 5), (104, 7), (177, 15), (11, 8), (180, 13), (178, 15), (50, 12), (124, 3), (117, 10), (179, 12), (118, 14), (120, 14), (27, 10), (181, 4), (44, 14), (119, 13), (120, 14), (28, 13), (95, 10), (96, 6), (29, 2), (49, 8), (30, 1), (135, 1), (76, 2), (31, 12), (46, 9), (17, 12), (21, 1), (22, 6), (97, 3), (182, 11), (172, 13), (183, 8), (77, 6), (98, 9), (173, 13), (78, 10), (14, 6), (39, 5), (13, 5), (67, 13), (136, 2), (15, 1), (68, 9), (71, 11), (72, 8), (74, 7), (40, 13), (41, 5), (99, 7), (75, 13), (42, 4), (32, 12), (100, 15), (174, 3), (175, 14)]"
5,"[(89, 2), (90, 12), (91, 9), (92, 5), (171, 8), (140, 11), (151, 6), (152, 10), (153, 6), (154, 4), (155, 14), (156, 9), (79, 15), (80, 3), (43, 10), (45, 14), (47, 4), (57, 15), (38, 6), (158, 5), (159, 3), (160, 11), (161, 14), (162, 13), (163, 11), (166, 4), (176, 14), (121, 2), (123, 11), (33, 4), (34, 5), (105, 4), (106, 15), (107, 12), (108, 4), (109, 2), (111, 3), (112, 6), (113, 9), (115, 1), (101, 1), (102, 10), (125, 13), (130, 6), (131, 12), (132, 1), (16, 5), (58, 7), (59, 8), (61, 7), (62, 3), (63, 4), (1, 1), (2, 12), (12, 7), (26, 8), (84, 12), (85, 13), (86, 5), (7, 9), (8, 8), (9, 2), (17, 15), (21, 1), (22, 6), (157, 2), (6, 5), (14, 6), (76, 1), (11, 8), (44, 1), (104, 7), (177, 15), (31, 3), (46, 13), (178, 15), (180, 13), (179, 12), (77, 6), (67, 12), (95, 1), (181, 12), (96, 6), (124, 3), (13, 1), (68, 2), (69, 1), (70, 9), (97, 3), (98, 5), (172, 13), (75, 13), (173, 13), (15, 1), (99, 7), (100, 15), (182, 11), (78, 10), (183, 8), (174, 3), (39, 5), (32, 12), (40, 13), (175, 7), (41, 5), (42, 6), (27, 10), (28, 13), (29, 2), (30, 1)]"
6,"[(12, 7), (43, 10), (158, 4), (167, 4), (168, 14), (169, 6), (170, 14), (156, 8), (79, 15), (80, 3), (47, 7), (48, 15), (58, 8), (64, 3), (65, 5), (66, 6), (26, 12), (176, 14), (38, 6), (101, 2), (102, 10), (33, 14), (37, 12), (171, 2), (140, 11), (151, 13), (152, 10), (153, 13), (154, 4), (155, 5), (105, 4), (106, 15), (107, 12), (110, 13), (111, 3), (112, 6), (114, 5), (115, 1), (121, 2), (122, 7), (125, 13), (130, 3), (131, 12), (132, 1), (89, 2), (93, 3), (94, 4), (7, 9), (8, 8), (9, 8), (45, 14), (1, 1), (3, 6), (4, 7), (5, 2), (84, 15), (87, 10), (88, 8), (16, 5), (67, 12), (27, 6), (17, 12), (18, 1), (13, 1), (124, 12), (68, 2), (71, 11), (73, 14), (74, 7), (11, 8), (31, 12), (6, 5), (177, 11), (178, 15), (180, 13), (179, 12), (181, 4), (44, 1), (75, 5), (172, 3), (76, 2), (28, 13), (77, 6), (182, 11), (183, 8), (104, 9), (50, 14), (29, 2), (46, 13), (78, 10), (157, 15), (95, 10), (96, 6), (49, 7), (173, 13), (97, 3), (30, 1), (98, 9), (174, 3), (99, 7), (100, 15), (175, 14), (14, 9), (15, 1), (32, 12), (39, 14), (40, 13), (41, 5), (42, 6)]"
7,"[(16, 5), (176, 14), (58, 7), (64, 3), (65, 5), (66, 6), (47, 4), (54, 13), (156, 8), (79, 15), (81, 12), (82, 7), (7, 9), (10, 14), (125, 8), (130, 3), (131, 12), (132, 1), (89, 2), (90, 12), (91, 9), (92, 5), (171, 12), (26, 10), (45, 11), (140, 11), (151, 13), (152, 10), (153, 6), (154, 4), (155, 14), (33, 14), (35, 11), (36, 2), (12, 7), (1, 1), (3, 6), (4, 7), (5, 2), (84, 15), (85, 6), (86, 5), (43, 2), (101, 6), (103, 12), (121, 10), (122, 5), (158, 4), (159, 3), (160, 15), (161, 14), (162, 13), (163, 11), (166, 4), (105, 4), (106, 15), (107, 12), (108, 4), (109, 2), (111, 3), (112, 6), (114, 5), (115, 1), (38, 1), (76, 2), (13, 1), (104, 7), (14, 9), (44, 1), (56, 8), (15, 1), (77, 11), (124, 3), (17, 15), (18, 1), (78, 10), (11, 8), (95, 10), (175, 7), (157, 15), (6, 5), (31, 12), (96, 6), (39, 14), (97, 3), (55, 7), (67, 12), (98, 9), (68, 2), (69, 8), (70, 9), (99, 7), (75, 13), (177, 11), (180, 13), (178, 15), (179, 12), (100, 15), (172, 13), (40, 13), (181, 12), (32, 12), (41, 5), (182, 11), (183, 8), (42, 6), (46, 5), (173, 13), (27, 9), (28, 14), (29, 2), (174, 3), (30, 6), (175, 7)]"
8,"[(84, 12), (85, 13), (86, 5), (33, 14), (35, 11), (36, 2), (1, 1), (3, 6), (4, 7), (5, 15), (79, 15), (83, 5), (89, 2), (90, 12), (91, 9), (92, 5), (121, 10), (122, 7), (158, 4), (159, 3), (160, 15), (161, 14), (162, 13), (163, 11), (166, 4), (101, 1), (102, 10), (105, 4), (116, 3), (58, 7), (59, 2), (60, 15), (63, 13), (171, 8), (45, 9), (7, 9), (8, 8), (9, 2), (156, 8), (26, 12), (140, 11), (141, 7), (142, 7), (143, 3), (145, 9), (146, 2), (147, 2), (150, 10), (125, 3), (130, 6), (131, 12), (132, 1), (16, 5), (38, 6), (176, 14), (12, 7), (47, 7), (51, 1), (43, 10), (14, 9), (104, 9), (117, 10), (95, 10), (11, 8), (96, 6), (157, 2), (119, 13), (120, 14), (97, 3), (27, 9), (177, 15), (118, 14), (120, 14), (98, 9), (31, 3), (17, 12), (19, 8), (20, 1), (124, 3), (178, 15), (179, 12), (180, 13), (181, 4), (182, 11), (99, 7), (183, 8), (67, 6), (100, 15), (6, 4), (68, 2), (69, 1), (70, 9), (172, 13), (76, 1), (77, 6), (173, 13), (28, 14), (175, 14), (29, 13), (32, 12), (13, 1), (46, 5), (15, 1), (30, 6), (39, 14), (78, 10), (75, 13), (44, 1), (40, 13), (41, 5), (42, 6), (174, 3), (175, 7)]"
9,"[(158, 4), (167, 4), (168, 14), (169, 6), (170, 14), (1, 11), (2, 12), (12, 7), (101, 6), (103, 12), (89, 2), (93, 3), (94, 2), (84, 12), (87, 10), (88, 8), (7, 9), (8, 8), (9, 2), (156, 8), (105, 4), (106, 15), (107, 12), (110, 13), (111, 3), (112, 6), (113, 9), (115, 1), (125, 13), (137, 1), (43, 10), (79, 15), (81, 2), (82, 7), (16, 5), (176, 14), (45, 14), (58, 8), (59, 5), (61, 7), (62, 2), (63, 4), (26, 10), (140, 11), (151, 6), (152, 10), (153, 6), (154, 6), (155, 14), (33, 14), (34, 5), (47, 7), (52, 7), (53, 9), (38, 1), (121, 10), (122, 7), (171, 2), (44, 1), (95, 1), (11, 8), (76, 2), (96, 6), (177, 15), (6, 5), (77, 6), (67, 12), (180, 13), (97, 3), (157, 15), (104, 7), (98, 9), (68, 2), (69, 1), (70, 9), (178, 15), (78, 10), (75, 13), (179, 12), (31, 12), (172, 5), (46, 9), (181, 12), (99, 7), (14, 9), (100, 15), (124, 3), (173, 13), (182, 11), (183, 8), (39, 14), (174, 3), (32, 12), (27, 9), (28, 13), (29, 2), (175, 7), (30, 6), (40, 13), (13, 1), (41, 5), (15, 1), (42, 4), (17, 15), (18, 6)]"
10,"[(38, 6), (47, 4), (48, 14), (79, 15), (81, 12), (82, 7), (45, 2), (33, 4), (34, 5), (84, 12), (87, 10), (88, 8), (158, 11), (167, 4), (168, 14), (169, 6), (170, 14), (58, 7), (59, 2), (60, 15), (63, 4), (125, 8), (133, 10), (176, 14), (156, 9), (171, 10), (140, 3), (151, 6), (152, 10), (153, 6), (154, 4), (155, 14), (16, 5), (89, 2), (90, 12), (91, 9), (92, 5), (121, 10), (122, 7), (7, 9), (8, 8), (9, 2), (43, 2), (26, 12), (12, 7), (105, 4), (106, 15), (107, 12), (110, 13), (111, 3), (112, 6), (114, 5), (115, 1), (101, 1), (102, 10), (1, 1), (3, 6), (4, 7), (5, 2), (95, 10), (96, 6), (6, 5), (11, 8), (104, 9), (172, 13), (124, 3), (76, 1), (17, 15), (21, 1), (22, 3), (77, 11), (173, 13), (46, 13), (157, 2), (177, 15), (180, 13), (178, 15), (179, 12), (181, 12), (13, 1), (182, 11), (78, 10), (31, 3), (32, 12), (183, 8), (50, 2), (14, 9), (97, 3), (98, 9), (67, 12), (68, 2), (71, 11), (73, 14), (74, 7), (15, 1), (44, 14), (134, 8), (135, 7), (49, 3), (99, 7), (75, 13), (100, 15), (136, 2), (27, 9), (28, 13), (29, 2), (174, 3), (39, 5), (40, 13), (30, 6), (175, 14), (41, 5), (42, 4)]"
